name,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,grades_above_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,classification,sequencial_missing_1,sequencial_missing_2,sequencial_missing_3,sequencial_missing_4,sequencial_missing_5,sequencial_missing_6,sequencial_missing_9,sequencial_missing_12
19,4.956521739130435,39.130434782608695,13.043478260869565,13.043478260869565,34.78260869565217,52.17391304347826,56.52173913043478,43.47826086956522,0.0,0.0,0.0,0.0,8.695652173913043,17.391304347826086,0.0,19.230769230769234,19.230769230769234,0.0,1,negative,2,0,1,0,0,0,0,0
2,9.747826086956522,0.0,4.3478260869565215,0.0,95.65217391304348,4.3478260869565215,0.0,100.0,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,53.84615384615385,53.84615384615385,0.0,3,negative,0,0,2,0,1,0,0,0
20,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.695652173913043,76.92307692307693,76.92307692307693,0.0,2,positive,0,0,0,0,1,0,0,1
21,2.9695652173913043,69.56521739130434,0.0,0.0,30.434782608695656,69.56521739130434,69.56521739130434,30.434782608695656,0.0,0.0,0.0,0.0,0.0,65.21739130434783,8.695652173913043,23.076923076923077,23.076923076923077,0.0,1,positive,1,0,1,0,0,0,0,0
22,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.695652173913043,76.92307692307693,76.92307692307693,0.0,2,positive,0,0,0,0,1,0,0,1
23,9.108695652173912,4.3478260869565215,4.3478260869565215,0.0,91.30434782608695,8.695652173913043,4.3478260869565215,95.65217391304348,0.0,0.0,0.0,0.0,8.695652173913043,4.3478260869565215,0.0,30.76923076923077,30.76923076923077,0.0,0,negative,3,1,0,0,0,0,0,0
24,1.626086956521739,82.6086956521739,0.0,0.0,17.391304347826086,82.6086956521739,82.6086956521739,17.391304347826086,0.0,0.0,0.0,0.0,0.0,82.6086956521739,8.695652173913043,34.61538461538461,34.61538461538461,0.0,2,positive,0,0,2,0,0,0,0,0
25,7.03913043478261,26.08695652173913,0.0,8.695652173913043,65.21739130434783,26.08695652173913,26.08695652173913,73.91304347826086,0.0,0.0,0.0,0.0,0.0,21.73913043478261,8.695652173913043,15.384615384615385,15.384615384615385,0.0,0,negative,4,0,0,0,0,0,0,0
26,9.421739130434782,0.0,4.3478260869565215,4.3478260869565215,91.30434782608695,4.3478260869565215,0.0,100.0,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,15.384615384615385,15.384615384615385,0.0,0,negative,4,0,0,0,0,0,0,0
27,5.682608695652173,39.130434782608695,4.3478260869565215,0.0,56.52173913043478,43.47826086956522,43.47826086956522,56.52173913043478,0.0,0.0,0.0,0.0,0.0,21.73913043478261,8.695652173913043,23.076923076923077,23.076923076923077,0.0,0,negative,4,1,0,0,0,0,0,0
28,9.08695652173913,4.3478260869565215,8.695652173913043,0.0,86.95652173913044,13.043478260869565,4.3478260869565215,95.65217391304348,0.0,0.0,0.0,0.0,8.695652173913043,4.3478260869565215,0.0,11.538461538461538,11.538461538461538,0.0,0,negative,3,0,0,0,0,0,0,0
29,9.11304347826087,8.695652173913043,0.0,0.0,91.30434782608695,8.695652173913043,8.695652173913043,91.30434782608695,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,15.384615384615385,15.384615384615385,0.0,0,negative,4,0,0,0,0,0,0,0
3,8.291304347826085,13.043478260869565,0.0,8.695652173913043,78.26086956521739,13.043478260869565,17.391304347826086,82.6086956521739,0.0,0.0,0.0,0.0,8.695652173913043,4.3478260869565215,0.0,15.384615384615385,15.384615384615385,0.0,0,negative,4,0,0,0,0,0,0,0
30,5.791304347826086,34.78260869565217,4.3478260869565215,8.695652173913043,52.17391304347826,39.130434782608695,39.130434782608695,60.86956521739131,0.0,0.0,0.0,0.0,0.0,8.695652173913043,8.695652173913043,26.923076923076923,26.923076923076923,0.0,1,negative,3,0,0,1,0,0,0,0
31,0.5782608695652174,91.30434782608695,4.3478260869565215,0.0,4.3478260869565215,95.65217391304348,95.65217391304348,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,91.30434782608695,8.695652173913043,23.076923076923077,23.076923076923077,0.0,0,positive,3,1,0,0,0,0,0,0
32,9.291304347826086,4.3478260869565215,4.3478260869565215,0.0,91.30434782608695,8.695652173913043,4.3478260869565215,95.65217391304348,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,15.384615384615385,15.384615384615385,0.0,0,negative,4,0,0,0,0,0,0,0
33,6.678260869565216,26.08695652173913,8.695652173913043,4.3478260869565215,60.86956521739131,34.78260869565217,30.434782608695656,69.56521739130434,0.0,0.0,0.0,0.0,0.0,17.391304347826086,8.695652173913043,26.923076923076923,26.923076923076923,0.0,1,negative,0,1,0,0,1,0,0,0
34,0.5826086956521739,91.30434782608695,4.3478260869565215,0.0,4.3478260869565215,95.65217391304348,95.65217391304348,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,91.30434782608695,8.695652173913043,26.923076923076923,26.923076923076923,0.0,1,positive,2,1,1,0,0,0,0,0
35,1.5434782608695652,82.6086956521739,0.0,4.3478260869565215,13.043478260869565,82.6086956521739,82.6086956521739,17.391304347826086,0.0,0.0,0.0,0.0,0.0,78.26086956521739,8.695652173913043,30.76923076923077,26.923076923076923,3.8461538461538463,0,positive,4,0,0,0,0,0,0,0
36,7.469565217391303,17.391304347826086,8.695652173913043,4.3478260869565215,69.56521739130434,26.08695652173913,21.73913043478261,78.26086956521739,0.0,0.0,0.0,0.0,8.695652173913043,13.043478260869565,0.0,19.230769230769234,19.230769230769234,0.0,0,negative,3,1,0,0,0,0,0,0
37,6.560869565217391,30.434782608695656,0.0,8.695652173913043,60.86956521739131,30.434782608695656,30.434782608695656,69.56521739130434,0.0,0.0,0.0,0.0,0.0,21.73913043478261,8.695652173913043,11.538461538461538,11.538461538461538,0.0,0,negative,1,1,0,0,0,0,0,0
38,1.7391304347826086,82.6086956521739,0.0,0.0,17.391304347826086,82.6086956521739,82.6086956521739,17.391304347826086,0.0,0.0,0.0,0.0,0.0,78.26086956521739,8.695652173913043,26.923076923076923,26.923076923076923,0.0,0,positive,3,2,0,0,0,0,0,0
39,0.17391304347826086,95.65217391304348,4.3478260869565215,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,95.65217391304348,8.695652173913043,38.46153846153847,38.46153846153847,0.0,0,positive,1,3,0,0,0,0,0,0
4,7.7956521739130435,21.73913043478261,0.0,0.0,78.26086956521739,21.73913043478261,21.73913043478261,78.26086956521739,0.0,0.0,0.0,0.0,8.695652173913043,17.391304347826086,0.0,23.076923076923077,23.076923076923077,0.0,1,negative,3,0,1,0,0,0,0,0
40,9.730434782608697,0.0,4.3478260869565215,0.0,95.65217391304348,4.3478260869565215,0.0,100.0,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,15.384615384615385,15.384615384615385,0.0,0,negative,2,1,0,0,0,0,0,0
41,6.252173913043479,26.08695652173913,13.043478260869565,4.3478260869565215,56.52173913043478,39.130434782608695,34.78260869565217,65.21739130434783,0.0,0.0,0.0,0.0,8.695652173913043,17.391304347826086,0.0,30.76923076923077,30.76923076923077,0.0,0,negative,3,1,0,0,0,0,0,0
42,9.591304347826087,4.3478260869565215,0.0,0.0,95.65217391304348,4.3478260869565215,0.0,100.0,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,11.538461538461538,11.538461538461538,0.0,0,negative,3,0,0,0,0,0,0,0
43,6.965217391304349,30.434782608695656,0.0,0.0,69.56521739130434,30.434782608695656,30.434782608695656,69.56521739130434,0.0,0.0,0.0,0.0,0.0,26.08695652173913,8.695652173913043,11.538461538461538,11.538461538461538,0.0,0,negative,1,1,0,0,0,0,0,0
44,0.3521739130434782,95.65217391304348,0.0,0.0,4.3478260869565215,95.65217391304348,95.65217391304348,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,95.65217391304348,8.695652173913043,34.61538461538461,34.61538461538461,0.0,1,positive,3,0,1,0,0,0,0,0
45,8.708695652173914,8.695652173913043,4.3478260869565215,0.0,86.95652173913044,13.043478260869565,8.695652173913043,91.30434782608695,0.0,0.0,0.0,0.0,0.0,8.695652173913043,8.695652173913043,26.923076923076923,26.923076923076923,0.0,0,negative,3,2,0,0,0,0,0,0
46,9.608695652173912,0.0,4.3478260869565215,0.0,95.65217391304348,4.3478260869565215,0.0,100.0,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,11.538461538461538,11.538461538461538,0.0,0,negative,3,0,0,0,0,0,0,0
47,4.6695652173913045,47.82608695652174,0.0,17.391304347826086,34.78260869565217,47.82608695652174,43.47826086956522,56.52173913043478,0.0,0.0,0.0,0.0,0.0,43.47826086956522,8.695652173913043,19.230769230769234,19.230769230769234,0.0,0,negative,3,1,0,0,0,0,0,0
48,9.243478260869566,4.3478260869565215,4.3478260869565215,0.0,91.30434782608695,8.695652173913043,4.3478260869565215,95.65217391304348,0.0,0.0,0.0,0.0,8.695652173913043,4.3478260869565215,0.0,23.076923076923077,23.076923076923077,0.0,1,negative,1,0,1,0,0,0,0,0
49,4.360869565217391,56.52173913043478,0.0,0.0,43.47826086956522,56.52173913043478,56.52173913043478,43.47826086956522,0.0,0.0,0.0,0.0,0.0,47.82608695652174,8.695652173913043,3.8461538461538463,3.8461538461538463,0.0,0,negative,1,0,0,0,0,0,0,0
5,9.069565217391302,4.3478260869565215,4.3478260869565215,4.3478260869565215,86.95652173913044,8.695652173913043,4.3478260869565215,95.65217391304348,0.0,0.0,0.0,0.0,8.695652173913043,4.3478260869565215,0.0,23.076923076923077,23.076923076923077,0.0,0,negative,4,1,0,0,0,0,0,0
50,2.1913043478260867,78.26086956521739,0.0,0.0,21.73913043478261,78.26086956521739,78.26086956521739,21.73913043478261,0.0,0.0,0.0,0.0,0.0,69.56521739130434,8.695652173913043,30.76923076923077,30.76923076923077,0.0,0,positive,2,3,0,0,0,0,0,0
51,9.560869565217391,0.0,4.3478260869565215,0.0,95.65217391304348,4.3478260869565215,0.0,100.0,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,3.8461538461538463,3.8461538461538463,0.0,0,negative,1,0,0,0,0,0,0,0
52,2.4565217391304346,73.91304347826086,0.0,4.3478260869565215,21.73913043478261,73.91304347826086,73.91304347826086,26.08695652173913,0.0,0.0,0.0,0.0,0.0,73.91304347826086,8.695652173913043,34.61538461538461,34.61538461538461,0.0,1,positive,4,1,1,0,0,0,0,0
53,9.339130434782609,4.3478260869565215,4.3478260869565215,0.0,91.30434782608695,8.695652173913043,4.3478260869565215,95.65217391304348,0.0,0.0,0.0,0.0,8.695652173913043,4.3478260869565215,0.0,19.230769230769234,19.230769230769234,0.0,0,negative,3,1,0,0,0,0,0,0
54,1.5608695652173912,82.6086956521739,0.0,4.3478260869565215,13.043478260869565,82.6086956521739,82.6086956521739,17.391304347826086,0.0,0.0,0.0,0.0,0.0,82.6086956521739,8.695652173913043,69.23076923076923,69.23076923076923,0.0,2,positive,1,0,0,0,1,0,1,0
55,8.017391304347825,4.3478260869565215,13.043478260869565,17.391304347826086,65.21739130434783,17.391304347826086,13.043478260869565,86.95652173913044,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,3.8461538461538463,3.8461538461538463,0.0,0,negative,1,0,0,0,0,0,0,0
56,6.721739130434782,30.434782608695656,0.0,4.3478260869565215,65.21739130434783,30.434782608695656,30.434782608695656,69.56521739130434,0.0,0.0,0.0,0.0,8.695652173913043,26.08695652173913,0.0,11.538461538461538,11.538461538461538,0.0,0,negative,1,1,0,0,0,0,0,0
57,8.147826086956522,8.695652173913043,4.3478260869565215,13.043478260869565,73.91304347826086,13.043478260869565,8.695652173913043,91.30434782608695,0.0,0.0,0.0,0.0,4.3478260869565215,8.695652173913043,4.3478260869565215,30.76923076923077,30.76923076923077,0.0,1,negative,3,1,1,0,0,0,0,0
58,7.478260869565218,21.73913043478261,4.3478260869565215,8.695652173913043,65.21739130434783,26.08695652173913,26.08695652173913,73.91304347826086,0.0,0.0,0.0,0.0,8.695652173913043,13.043478260869565,0.0,23.076923076923077,23.076923076923077,0.0,0,negative,2,2,0,0,0,0,0,0
59,6.678260869565217,30.434782608695656,4.3478260869565215,0.0,65.21739130434783,34.78260869565217,30.434782608695656,69.56521739130434,0.0,0.0,0.0,0.0,4.3478260869565215,30.434782608695656,4.3478260869565215,38.46153846153847,38.46153846153847,0.0,2,negative,4,0,2,0,0,0,0,0
6,4.017391304347826,56.52173913043478,0.0,8.695652173913043,34.78260869565217,56.52173913043478,56.52173913043478,43.47826086956522,0.0,0.0,0.0,0.0,0.0,56.52173913043478,8.695652173913043,7.6923076923076925,7.6923076923076925,0.0,0,positive,2,0,0,0,0,0,0,0
60,6.0,17.391304347826086,21.73913043478261,26.08695652173913,34.78260869565217,39.130434782608695,43.47826086956522,56.52173913043478,0.0,0.0,0.0,0.0,8.695652173913043,4.3478260869565215,0.0,7.6923076923076925,7.6923076923076925,0.0,0,negative,2,0,0,0,0,0,0,0
61,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.695652173913043,76.92307692307693,76.92307692307693,0.0,2,positive,0,0,0,0,1,0,0,1
62,8.995652173913042,8.695652173913043,0.0,0.0,91.30434782608695,8.695652173913043,8.695652173913043,91.30434782608695,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,23.076923076923077,23.076923076923077,0.0,0,negative,1,1,0,0,0,0,0,0
63,9.126086956521739,4.3478260869565215,4.3478260869565215,4.3478260869565215,86.95652173913044,8.695652173913043,4.3478260869565215,95.65217391304348,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,3.8461538461538463,3.8461538461538463,0.0,0,negative,1,0,0,0,0,0,0,0
64,6.343478260869567,34.78260869565217,0.0,8.695652173913043,56.52173913043478,34.78260869565217,34.78260869565217,65.21739130434783,0.0,0.0,0.0,0.0,8.695652173913043,13.043478260869565,0.0,19.230769230769234,15.384615384615385,3.8461538461538463,0,negative,2,1,0,0,0,0,0,0
65,0.7391304347826086,91.30434782608695,0.0,4.3478260869565215,4.3478260869565215,91.30434782608695,95.65217391304348,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,91.30434782608695,8.695652173913043,23.076923076923077,23.076923076923077,0.0,0,positive,5,0,0,0,0,0,0,0
66,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.695652173913043,76.92307692307693,76.92307692307693,0.0,2,positive,0,0,0,0,1,0,0,1
67,6.230434782608695,30.434782608695656,4.3478260869565215,8.695652173913043,56.52173913043478,34.78260869565217,39.130434782608695,60.86956521739131,0.0,0.0,0.0,0.0,0.0,26.08695652173913,8.695652173913043,23.076923076923077,23.076923076923077,0.0,0,negative,6,0,0,0,0,0,0,0
68,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.695652173913043,76.92307692307693,76.92307692307693,0.0,2,positive,0,0,0,0,1,0,0,1
69,6.81304347826087,26.08695652173913,4.3478260869565215,8.695652173913043,60.86956521739131,30.434782608695656,26.08695652173913,73.91304347826086,0.0,0.0,0.0,0.0,0.0,17.391304347826086,8.695652173913043,23.076923076923077,23.076923076923077,0.0,0,negative,2,2,0,0,0,0,0,0
7,9.082608695652175,4.3478260869565215,4.3478260869565215,0.0,91.30434782608695,8.695652173913043,4.3478260869565215,95.65217391304348,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,3.8461538461538463,3.8461538461538463,0.0,0,negative,1,0,0,0,0,0,0,0
70,9.643478260869564,0.0,4.3478260869565215,0.0,95.65217391304348,4.3478260869565215,0.0,100.0,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,15.384615384615385,15.384615384615385,0.0,0,negative,4,0,0,0,0,0,0,0
71,7.673913043478261,21.73913043478261,0.0,4.3478260869565215,73.91304347826086,21.73913043478261,17.391304347826086,82.6086956521739,0.0,0.0,0.0,0.0,0.0,17.391304347826086,8.695652173913043,11.538461538461538,11.538461538461538,0.0,0,negative,1,1,0,0,0,0,0,0
72,0.8782608695652173,86.95652173913044,4.3478260869565215,4.3478260869565215,4.3478260869565215,91.30434782608695,91.30434782608695,8.695652173913043,0.0,0.0,0.0,0.0,0.0,82.6086956521739,8.695652173913043,15.384615384615385,15.384615384615385,0.0,0,positive,2,1,0,0,0,0,0,0
73,0.7869565217391304,91.30434782608695,0.0,0.0,8.695652173913043,91.30434782608695,91.30434782608695,8.695652173913043,0.0,0.0,0.0,0.0,0.0,91.30434782608695,8.695652173913043,26.923076923076923,26.923076923076923,0.0,0,positive,4,1,0,0,0,0,0,0
74,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.695652173913043,23.076923076923077,23.076923076923077,0.0,0,positive,3,1,0,0,0,0,0,0
75,0.2608695652173913,95.65217391304348,0.0,4.3478260869565215,0.0,95.65217391304348,100.0,0.0,0.0,0.0,0.0,0.0,0.0,95.65217391304348,8.695652173913043,76.92307692307693,76.92307692307693,0.0,2,positive,0,0,0,0,1,0,0,1
76,2.2086956521739127,73.91304347826086,4.3478260869565215,0.0,21.73913043478261,78.26086956521739,78.26086956521739,21.73913043478261,0.0,0.0,0.0,0.0,0.0,69.56521739130434,8.695652173913043,38.46153846153847,38.46153846153847,3.8461538461538463,0,positive,8,1,0,0,0,0,0,0
77,7.243478260869565,17.391304347826086,8.695652173913043,13.043478260869565,60.86956521739131,26.08695652173913,26.08695652173913,73.91304347826086,0.0,0.0,0.0,0.0,8.695652173913043,4.3478260869565215,0.0,15.384615384615385,15.384615384615385,0.0,0,negative,0,2,0,0,0,0,0,0
78,0.391304347826087,95.65217391304348,0.0,0.0,4.3478260869565215,95.65217391304348,95.65217391304348,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,95.65217391304348,8.695652173913043,42.30769230769231,38.46153846153847,3.8461538461538463,1,positive,2,1,0,0,1,0,0,0
79,4.969565217391304,43.47826086956522,8.695652173913043,8.695652173913043,39.130434782608695,52.17391304347826,52.17391304347826,47.82608695652174,0.0,0.0,0.0,0.0,0.0,30.434782608695656,8.695652173913043,34.61538461538461,34.61538461538461,0.0,1,negative,4,1,1,0,0,0,0,0
8,3.617391304347826,60.86956521739131,0.0,4.3478260869565215,34.78260869565217,60.86956521739131,60.86956521739131,39.130434782608695,0.0,0.0,0.0,0.0,0.0,52.17391304347826,8.695652173913043,30.76923076923077,30.76923076923077,0.0,1,positive,5,0,1,0,0,0,0,0
80,0.43478260869565216,95.65217391304348,0.0,0.0,4.3478260869565215,95.65217391304348,95.65217391304348,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,95.65217391304348,8.695652173913043,76.92307692307693,76.92307692307693,0.0,2,positive,0,0,0,0,1,0,0,1
81,8.769565217391303,13.043478260869565,0.0,0.0,86.95652173913044,13.043478260869565,8.695652173913043,91.30434782608695,0.0,0.0,0.0,0.0,8.695652173913043,4.3478260869565215,0.0,11.538461538461538,11.538461538461538,0.0,0,negative,3,0,0,0,0,0,0,0
82,9.173913043478262,4.3478260869565215,4.3478260869565215,0.0,91.30434782608695,8.695652173913043,4.3478260869565215,95.65217391304348,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,19.230769230769234,19.230769230769234,0.0,0,negative,3,1,0,0,0,0,0,0
83,8.63913043478261,13.043478260869565,0.0,0.0,86.95652173913044,13.043478260869565,13.043478260869565,86.95652173913044,0.0,0.0,0.0,0.0,4.3478260869565215,8.695652173913043,4.3478260869565215,11.538461538461538,11.538461538461538,0.0,0,negative,3,0,0,0,0,0,0,0
84,3.0043478260869567,69.56521739130434,0.0,0.0,30.434782608695656,69.56521739130434,69.56521739130434,30.434782608695656,0.0,0.0,0.0,0.0,0.0,60.86956521739131,8.695652173913043,15.384615384615385,15.384615384615385,0.0,0,negative,4,0,0,0,0,0,0,0
85,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.695652173913043,61.53846153846154,61.53846153846154,0.0,2,positive,2,0,0,0,1,1,0,0
86,0.43478260869565216,95.65217391304348,0.0,0.0,4.3478260869565215,95.65217391304348,95.65217391304348,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,95.65217391304348,8.695652173913043,76.92307692307693,76.92307692307693,0.0,2,positive,0,0,0,0,1,0,0,1
9,9.543478260869565,4.3478260869565215,0.0,0.0,95.65217391304348,4.3478260869565215,0.0,100.0,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,0,negative,2,0,0,0,0,0,0,0
